 0 0  03 56 13  +00 08 43  11.491 
 0 0  04 51 16  -00 14 51  12.182 
 0 0  04 51 43  -00 10 12  10.591 
 0 0  04 52 35  +00 22 29  11.716 
 0 0  04 52 58  +00 09 04  13.778 
 0 0  04 52 59  -00 14 44  11.719 
 0 0  04 53 19  -00 05 04  11.140 
 0 0  05 28 01  +09 39 07  12.443 
 0 0  05 42 05  +12 30 14  11.509 
 0 0  05 52 28  +15 53 15  13.032 
 0 0  05 57 07  +00 01 12  11.733 
 0 0  05 57 09  -00 11 13  12.448 
 0 0  05 57 26  +00 20 26  11.608 
 0 0  05 57 37  +00 13 42   9.781 
 0 0  05 57 55  -00 09 29  11.483 
 0 0  05 58 25  +00 05 12  10.788 
 0 0  05 58 44  -00 05 13  14.085 
 0 0  06 51 27  -00 15 37  13.089 
 0 0  06 51 29  -00 16 27  14.001 
 0 0  06 51 30  -00 24 52  14.137 
 0 0  06 51 30  -00 25 07  14.780 
 0 0  06 51 31  -00 18 59  12.185 
 0 0  06 51 32  -00 26 26  14.162 
 0 0  06 51 34  -00 11 28  10.572 
 0 0  06 51 39  -00 26 38  15.672 
 0 0  06 51 40  -00 21 11  15.859 
 0 0  06 51 40  -00 25 43  14.556 
 0 0  06 51 40  -00 26 43  14.728 
 0 0  06 51 42  -00 15 18  14.614 
 0 0  06 51 42  -00 16 35  16.332 
 0 0  06 51 43  -00 15 53  14.568 
 0 0  06 51 43  -00 22 21  14.642 
 0 0  06 51 49  -00 20 34  15.674 
 0 0  06 51 50  -00 21 17  12.723 
 0 0  06 51 52  -00 20 16  13.811 
 0 0  06 51 53  -00 20 46  14.758 
 0 0  06 51 53  -00 22 03  14.900 
 0 0  06 51 56  -00 20 57  14.608 
 0 0  06 51 59  -00 21 33  15.290 
 0 0  06 52 02  -00 27 21  10.536 
 0 0  06 52 03  -00 21 18  15.839 
 0 0  06 52 04  -00 27 18  10.030 
 0 0  06 52 05  -00 18 19   9.539 
 0 0  06 52 05  -00 19 40  12.271 
 0 0  06 52 05  -00 21 58  14.817 
 0 0  06 52 10  -00 23 34  12.732 
 0 0  06 52 12  -00 18 22  13.385 
 0 0  06 52 12  -00 19 17  11.930 
 0 0  06 52 14  -00 19 21  13.068 
 0 0  06 52 14  -00 19 41  13.398 
 0 0  06 52 16  -00 19 39  17.800 
 0 0  06 52 17  -00 19 42  13.749 
 0 0  06 52 19  -00 20 19  11.954 
 0 0  06 52 19  -00 23 34  12.754 
 0 0  06 52 20  -00 14 15  15.010 
 0 0  06 52 21  -00 15 50  14.439 
 0 0  06 52 28  -00 13 43  12.113 
 0 0  06 52 35  -00 15 23  13.975 
 0 0  06 52 37  -00 14 33  11.878 
 0 0  06 52 38  -00 16 34  13.707 
 0 0  06 52 38  -00 17 05  14.090 
 0 0  06 52 38  -00 19 22  11.118 
 0 0  06 52 40  -00 17 16  12.238 
 0 0  07 24 12  -00 31 46  12.829 
 0 0  07 24 14  -00 32 44  14.495 
 0 0  07 24 15  -00 30 58  13.471 
 0 0  07 24 15  -00 32 55  13.866 
 0 0  07 24 16  -00 32 38  11.480 
 0 0  07 24 18  -00 32 17  14.425 
 0 0  07 24 18  -00 32 58  12.642 
 0 0  07 24 19  -00 31 08  13.718 
 0 0  07 29 51  -02 04 29  14.564 
 0 0  07 29 51  -02 05 09  12.362 
 0 0  07 29 55  -02 06 18  13.014 
 0 0  07 29 56  -02 05 39  15.019 
 0 0  07 29 57  -02 06 02  14.341 
 0 0  07 29 59  -02 05 18  12.222 
 0 0  07 30 03  -02 04 16  11.076 
 0 0  07 55 54  -00 16 51   9.398 
 0 0  07 56 07  -00 20 43   9.417 
 0 0  08 52 35  -00 39 48  10.139 
 0 0  08 53 15  -00 43 29   9.150 
 0 0  08 53 18  -00 41 31  13.027 
 0 0  08 53 19  -00 41 10  12.350 
 0 0  08 53 36  -00 36 41  11.799 
 0 0  08 53 55  -00 32 21  11.384 
 0 0  09 21 22  +02 47 30  12.272 
 0 0  09 21 28  +02 46 03  13.327 
 0 0  09 21 34  +02 48 01  13.963 
 0 0  09 21 35  +02 46 20  14.490 
 0 0  09 21 42  +02 46 38  13.537 
 0 0  09 31 18  -13 29 20  10.067 
 0 0  09 45 10  -03 05 53  13.707 
 0 0  09 45 10  -03 10 17  14.731 
 0 0  09 45 12  -03 06 57  14.108 
 0 0  09 45 12  -03 09 24  14.004 
 0 0  09 45 15  -03 06 39  14.989 
 0 0  09 54 51  -00 27 28  11.249 
 0 0  09 54 52  -00 18 32  11.552 
 0 0  09 55 29  -00 21 37  16.501 
 0 0  09 55 33  -00 22 31  13.823 
 0 0  09 55 35  -00 18 48  15.770 
 0 0  09 55 41  -00 18 21  13.459 
 0 0  09 55 57  -00 23 14   9.742 
 0 0  09 56 08  -00 29 48  14.295 
 0 0  09 56 08  -00 12 40  14.785 
 0 0  09 56 08  -00 27 08  14.923 
 0 0  09 56 09  -00 14 02  13.646 
 0 0  09 56 09  -00 25 50  13.441 
 0 0  09 56 14  -00 11 56  12.583 
 0 0  09 56 19  -00 31 55  14.380 
 0 0  09 56 21  -00 27 19  13.723 
 0 0  09 56 23  -00 16 52  15.259 
 0 0  09 56 27  -00 35 43  13.711 
 0 0  09 56 55  -00 29 38  15.494 
 0 0  09 56 55  -00 30 27  15.953 
 0 0  09 57 05  -00 31 38  11.575 
 0 0  09 57 08  -00 31 28  16.264 
 0 0  09 57 11  -00 31 37  15.928 
 0 0  09 57 16  -00 17 16  13.180 
 0 0  09 57 18  -00 20 59  13.788 
 0 0  09 57 18  -00 25 00  14.449 
 0 0  09 57 20  -00 16 26  15.058 
 0 0  09 57 26  -00 17 16  14.964 
 0 0  09 57 30  -00 21 52  14.342 
 0 0  09 57 31  -00 21 49  15.556 
 0 0  09 57 31  -00 22 54  15.504 
 0 0  09 57 32  -00 18 17  13.496 
 0 0  09 57 37  -00 17 51  13.684 
 0 0  09 57 39  -00 17 52  16.497 
 0 0  09 57 53  -00 47 35  12.419 
 0 0  09 58 19  -00 25 35   9.874 
 0 0  10 00 47  -07 33 31  13.561 
 0 0  10 33 43  -11 40 39  13.012 
 0 0  10 36 02  +05 07 11  12.636 
 0 0  10 37 04  -00 08 20  13.228 
 0 0  10 42 55  +02 47 22  14.706 
 0 0  10 50 03  -00 00 32  13.474 
 0 0  10 50 06  -00 01 08  13.512 
 0 0  10 50 09  -00 02 00  14.751 
 0 0  10 50 18  -00 00 23  12.453 
 0 0  10 50 54  +06 48 57  11.675 
 0 0  10 55 06  -00 48 19  10.069 
 0 0  10 56 38  +07 02 23  13.507 
 0 0  10 57 04  -00 13 10   9.903 
 0 0  10 57 35  -07 31 23  14.338 
 0 0  11 08 00  -05 09 26  13.059 
 0 0  11 08 07  -05 13 47  12.576 
 0 0  11 47 44  +00 48 55  11.153 
 0 0  11 56 06  -00 47 54   9.861 
 0 0  11 56 46  -00 21 54  11.836 
 0 0  12 33 20  +09 01 08  12.467 
 0 0  12 41 04  -00 37 11   9.370 
 0 0  12 41 36  -00 31 15  15.602 
 0 0  12 41 41  -00 26 27  12.630 
 0 0  12 41 44  -00 22 43  14.608 
 0 0  12 41 50  -00 25 52  13.858 
 0 0  12 42 03  -00 41 36  15.581 
 0 0  12 42 12  -00 40 40  15.296 
 0 0  12 42 14  -00 24 48  15.114 
